nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;ano_pelicula_nominada;original_language;genres;production_companies;production_countries;spoken_languages
Natalie Wood;Femenino;San Francisco, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tomorrow Is Forever;Mejor actriz;No;1964;Love with the Proper Stranger;1963;ingles;Comedy, Drama, Romance;Paramount, Boardwalk Productions;Estados Unidos;Ingles, Italiano
Leslie Caron;Femenino;Boulogne-Billancourt, Francia;Francesa;Estadounidense ;Blanca;Sí; An American in Paris;Mejor actriz;No;1964;The L-Shaped Room;1963;Inglés;Drama, Romance;Romulus Films, Columbia Pictures;Reino Unido;Inglés
Shirley MacLaine;Femenino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Trouble with Harry;Mejor actriz;No;1964;Irma La Douce;1963;Inglés;Comedia, Romance;The Mirisch Company, Phalanx Productions, Jalem Productions;Estados Unidos;Inglés
Peter Sellers;Masculino;Southsea, Inglaterra;Británica;No aplica;Blanca;No; Penny Points to Paradise;Mejor actor;No;1965;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;ingles;Drama, Comedy, War;Hawk Films, Columbia Pictures;Reino Unido, Estados Unidos;Ingles
Julie Andrews;Femenino;Walton-on-Thames, Inglaterra;Británica;No aplica;Blanca;Sí; Mary Poppins;Mejor actriz;Sí;1965;Mary Poppins;1964;ingles;Comedy, Family, Fantasy;Walt Disney Productions;Estados Unidos;Ingles
Rex Harrison;Masculino;Huyton, Inglaterra;Británica;No aplica;Blanca;No; The Great Game;Mejor actor;Sí;1965;My Fair Lady;1964;ingles;Romance, Drama, Comedy;Warner Bros. Pictures;Estados Unidos;Ingles
Sophia Loren;Femenino;Roma, Italia;Italiana;Francesa;Blanca;No; Lebbra bianca;Mejor actriz;No;1965;Marriage Italian Style;1964;italiano;Drama, Comedy, Romance;Compagnia Cinematografica Champion, Les Films Concordia;Italia, Francia;Italiano
Anthony Quinn;Masculino;Chihuahua, México;Mexicana;Estadounidense ;Hispana;Sí; Parole!;Mejor actor;No;1965;Zorba the Greek;1964;ingles;Drama;20th Century Fox;Estados Unidos, Greece;Griego, Ingles
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1965;Becket;1964;ingles;Drama, History;Paramount, Keep Films;Reino Unido, Estados Unidos;Welsh, Ingles, Latin
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1965;Becket;1964;ingles;Drama, History;Paramount, Keep Films;Reino Unido, Estados Unidos;Welsh, Ingles, Latin
Kim Stanley;Femenino;Tularosa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; he Goddess;Mejor actriz;No;1965;Seance on a Wet Afternoon;1964;ingles;Crime, Drama, Thriller;Allied Film Makers, Beaver Films;Reino Unido;Ingles
Debbie Reynolds;Femenino;El Paso, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Daughter of Rosie O'Grady;Mejor actriz;No;1965;The Unsinkable Molly Brown;1964;ingles;Comedy;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Anne Bancroft;Femenino;Bronx, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Don't Bother to Knock;Mejor actriz;No;1965;The Pumpkin Eater;1964;ingles;Drama;Romulus Films;Reino Unido;Ingles
Julie Andrews;Femenino;Walton-on-Thames, Inglaterra;Británica;No aplica;Blanca;Sí; Mary Poppins;Mejor actriz;No;1966;The Sound of Music;1965;ingles;Drama, Family, Music, Romance;Robert Wise Productions, Argyle Enterprises, 20th Century Fox;Estados Unidos;Ingles, Aleman
Lee Marvin;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Duel at Silver Creek;Mejor actor;Sí;1966;Cat Ballou;1965;ingles;Comedy, Romance, Western;Harold Hecht Productions, Columbia Pictures;Estados Unidos;Ingles
Samantha Eggar;Femenino;Hampstead, Inglaterra;Británica;Estadounidense;Blanca;No; The Wild and the Willing;Mejor actriz;No;1966;The Collector;1965;ingles;Drama, Thriller;Collector Company, Columbia Pictures;Reino Unido, Estados Unidos;Ingles
Julie Christie;Femenino;Chabua, India;Británica;No aplica;Blanca;No; Crooks Anonymous;Mejor actriz;Sí;1966;Darling;1965;ingles;Drama, Romance;Vic Films Productions, Joseph Janni Production;Reino Unido;Ingles, Frances, Italiano
Elizabeth Hartman;Femenino;Youngstown, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Patch of Blue;Mejor actriz;No;1966;A Patch of Blue;1965;ingles;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Oskar Werner;Masculino;Viena, Austria;Austríaca;No aplica;Blanca;No; Geld fällt vom Himmel;Mejor actor;No;1966;Ship of Fools;1965;ingles;Drama, Romance;Stanley Kramer Productions, Columbia Pictures;Estados Unidos;Ingles, Español, Aleman
Simone Signoret;Femenino;Wiesbaden, Alemania;Francesa ;No aplica;Blanca;No; Béatrice devant le désir;Mejor actriz;No;1966;Ship of Fools;1965;ingles;Drama, Romance;Stanley Kramer Productions, Columbia Pictures;Estados Unidos;Ingles, Español, Aleman
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1966;Othello;1965;ingles;Drama;BHE Films, National Theatre, Warner Bros. Pictures;Reino Unido;Ingles
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1966;The Spy Who Came In from the Cold;1965;Inglés;Drama, Suspense;Salem Films, Paramount Pictures;Reino Unido;Inglés
Rod Steiger;Masculino;Westhampton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Teresa;Mejor actor;No;1966;The Pawnbroker;1965;Inglés;Drama;Landau-Unger Company, Ely Landau Organization;Estados Unidos;Inglés
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1967;Who's Afraid of Virginia Woolf?;1966;ingles;Drama;Chenault Productions, Warner Bros. Pictures;Estados Unidos;Ingles, Latin
Elizabeth Taylor;Femenino;Londres, Inglaterra;Británica;Estadounidense;Blanca;Sí; There's One Born Every Minute;Mejor actriz;Sí;1967;Who's Afraid of Virginia Woolf?;1966;ingles;Drama;Chenault Productions, Warner Bros. Pictures;Estados Unidos;Ingles, Latin
Paul Scofield;Masculino;Hurstpierpoint, Inglaterra;Británica;No aplica;Blanca;Sí; That Lady;Mejor actor;Sí;1967;A Man for All Seasons;1966;ingles;Drama, History;Highland Films, Columbia Pictures;Reino Unido;Ingles, Latin
Anouk Aimée;Femenino;París, Francia;Francesa;No aplica;Blanca;No; La maison sous la mer;Mejor actriz;No;1967;A Man and a Woman;1966;frances;Drama, Romance;Les Films 13;Francia;Frances
Steve McQueen;Masculino;Beech Grove, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Family Affair;Mejor actor;No;1967;The Sand Pebbles;1966;ingles;Adventure, War, Drama;Robert Wise Productions, Solar Productions, 20th Century Fox;Estados Unidos;Mandarin, Ingles
Michael Caine;Masculino;Rotherhithe, Inglaterra;Británica;No aplica;Blanca;No; A Hill in Korea;Mejor actor;No;1967;Alfie;1966;ingles;Comedy, Drama, Romance;Paramount, Lewis Gilbert Productions;Reino Unido;Ingles
Lynn Redgrave;Femenino;Londres, Inglaterra;Británica;No aplica;Blanca;No; Tom Jones;Mejor actriz;No;1967;Georgy Girl;1966;ingles;Comedy, Drama, Romance;Everglades Productions, Columbia Pictures;Reino Unido;Ingles, Italiano
Alan Arkin;Masculino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Russians Are Coming the Russians Are Coming;Mejor actor;No;1967;The Russians Are Coming The Russians Are Coming;1966;Inglés;Comedia, Bélica;The Mirisch Company, Norman Jewison Productions;Estados Unidos;Inglés, Ruso
Ida Kaminska;Femenino;Odesa, Ucrania;Polaca;No aplica;Blanca;No; Tkies khaf;Mejor actriz;No;1967;The Shop on Main Street;1966;Eslovaco;Drama, Bélica;Barrandov Film Studio, Slovak Film Studio Koliba;Checoslovaquia;Eslovaco, Checo, Yidish, Aleman, Latin
Vanessa Redgrave;Femenino;Blackheath, Inglaterra;Británica;No aplica;Blanca;No; Behind the Mask;Mejor actriz;No;1967;Morgan!;1966;Inglés;Comedia, Drama, Romance;Quintra Films;Reino Unido;Inglés
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;No;1968;The Graduate;1967;ingles;Comedy, Drama, Romance;Lawrence Turman Films, Inc., AVCO Embassy Pictures;Estados Unidos;Ingles
Anne Bancroft;Femenino;Bronx, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Don't Bother to Knock;Mejor actriz;No;1968;The Graduate;1967;ingles;Comedy, Drama, Romance;Lawrence Turman Films, Inc., AVCO Embassy Pictures;Estados Unidos;Ingles
Warren Beatty;Masculino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Splendor in the Grass;Mejor actor;No;1968;Bonnie and Clyde;1967;ingles;Crime, Drama;Tatira-Hiller Productions, Warner Bros-Seven Arts;Estados Unidos;Ingles
Faye Dunaway;Femenino;Bascom, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hurry Sundown;Mejor actriz;No;1968;Bonnie and Clyde;1967;ingles;Crime, Drama;Tatira-Hiller Productions, Warner Bros-Seven Arts;Estados Unidos;Ingles
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1968;Cool Hand Luke;1967;ingles;Crime, Drama;Jalem Productions, Warner Bros. Pictures;Estados Unidos;Ingles
Rod Steiger;Masculino;Westhampton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Teresa;Mejor actor;Sí;1968;In the Heat of the Night;1967;ingles;Crime, Drama, Mystery, Thriller;United Artists, The Mirisch Company;Estados Unidos;Ingles
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1968;Guess Who's Coming to Dinner;1967;ingles;Drama, Comedy, Romance;Stanley Kramer Productions, Columbia Pictures;Estados Unidos;Ingles
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;Sí;1968;Guess Who's Coming to Dinner;1967;ingles;Drama, Comedy, Romance;Stanley Kramer Productions, Columbia Pictures;Estados Unidos;Ingles
Dame Edith Evans;Femenino;Pimlico, Inglaterra;Británica;No aplica;Blanca;No; Honeymoon for Three;Mejor actriz;No;1968;The Whisperers;1967;ingles;Drama, Thriller;United Artists, Pinewood Films, Pinewood Studios (LK), C.T.S. Studios;Reino Unido;Ingles
Audrey Hepburn;Femenino;Ixelles, Bélgica;Británica;No aplica;Blanca;No; One Wild Oat;Mejor actriz;No;1968;Wait until Dark;1967;Inglés;Suspense, Crimen;Warner Bros.-Seven Arts, Seven Arts Productions;Estados Unidos;Inglés
Ron Moody;Masculino;Tottenham, Inglaterra;Británica;No aplica;Blanca;No; Follow a Star;Mejor actor;No;1969;Oliver!;1968;ingles;Drama, Family, Music;Warwick Film Productions, Romulus Films, Columbia Pictures;Reino Unido;Ingles
Barbra Streisand;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Funny Girl;Mejor actriz;Sí;1969;Funny Girl;1968;ingles;Comedy, Drama, Romance;Columbia Pictures, Rastar Productions;Estados Unidos;Ingles
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1969;The Lion in Winter;1968;ingles;Drama, History;AVCO Embassy Pictures, Haworth Productions;Reino Unido;Ingles
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;Sí;1969;The Lion in Winter;1968;ingles;Drama, History;AVCO Embassy Pictures, Haworth Productions;Reino Unido;Ingles
Cliff Robertson;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Picnic;Mejor actor;Sí;1969;Charly;1968;ingles;Drama, Romance, Science Fiction;ABC Pictures, Cinerama Releasing Corporation;Estados Unidos;Ingles
Joanne Woodward;Femenino;Thomasville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Count Three and Pray;Mejor actriz;No;1969;Rachel, Rachel;1968;ingles;Drama, Romance;Kayos Productions;Estados Unidos;Ingles
Alan Arkin;Masculino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Russians Are Coming the Russians Are Coming;Mejor actor;No;1969;The Heart Is a Lonely Hunter;1968;ingles;Drama;Warner Bros-Seven Arts;Estados Unidos;Ingles
Vanessa Redgrave;Femenino;Blackheath, Inglaterra;Británica;No aplica;Blanca;No; Behind the Mask;Mejor actriz;No;1969;Isadora;1968;ingles;Drama, History, Music, Romance;Universal Pictures, Hakim, Paris Film;Francia, Reino Unido;Ingles
Alan Bates;Masculino;Allestree, Inglaterra;Británica;No aplica;Blanca;No; The Entertainer;Mejor actor;No;1969;The Fixer;1968;ingles;Drama;John Frankenheimer Productions Inc., Edward Lewis Productions, Metro-Goldwyn-Mayer British Studios;Reino Unido;Ingles
Patricia Neal;Femenino;Packard, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; John Loves Mary;Mejor actriz;No;1969;The Subject Was Roses;1968;ingles;Drama;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;No;1970;Midnight Cowboy;1969;ingles;Drama;Florin Productions, Jerome Hellman Productions, United Artists;Estados Unidos;Ingles, Italiano
Jon Voight;Masculino;Yonkers, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Fearless Frank;Mejor actor;No;1970;Midnight Cowboy;1969;ingles;Drama;Florin Productions, Jerome Hellman Productions, United Artists;Estados Unidos;Ingles, Italiano
John Wayne;Masculino;Winterset, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Words and Music;Mejor actor;Sí;1970;True Grit;1969;ingles;Western;Wallis-Hazen Inc.;Estados Unidos;Ingles
Jane Fonda;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tall Story;Mejor actriz;No;1970;They Shoot Horses, Don't They?;1969;ingles;Drama;Palomar Pictures International;Estados Unidos;Ingles
Richard Burton;Masculino;Pontrhydyfen, Reino Unido;Británica ;No aplica;Blanca;No; The Last Days of Dolwyn;Mejor actor;No;1970;Anne of the Thousand Days;1969;ingles;Drama, History, Romance;Hal Wallis Productions, Universal Pictures;Reino Unido;Español, Ingles
Genevieve Bujold;Femenino;Montreal, Canadá;Canadiense;No aplica;Blanca;No; Amanita Pestilens;Mejor actriz;No;1970;Anne of the Thousand Days;1969;ingles;Drama, History, Romance;Hal Wallis Productions, Universal Pictures;Reino Unido;Español, Ingles
Maggie Smith;Femenino;Ilford, Inglaterra;Británica;No aplica;Blanca;Sí; Nowhere to Go;Mejor actriz;Sí;1970;The Prime of Miss Jean Brodie;1969;ingles;Drama;20th Century Fox;Reino Unido;Ingles, Frances, Italiano, Latin
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1970;Goodbye, Mr. Chips;1969;ingles;Drama, Music, Romance;APJAC Productions, Metro-Goldwyn-Mayer British Studios;Reino Unido;Ingles
Jean Simmons;Femenino;Crouch Hill, Inglaterra;Británica;Estadounidense;Blanca;No; Give Us the Moon;Mejor actriz;No;1970;The Happy Ending;1969;ingles;Drama;Pax Enterprises;Estados Unidos;Ingles
Liza Minnelli;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;No; Charlie Bubbles;Mejor actriz;No;1970;The Sterile Cuckoo;1969;ingles;Romance;Paramount, Boardwalk Productions;Estados Unidos;Ingles
George C. Scott;Masculino;Wise, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Hanging Tree;Mejor actor;Sí;1971;Patton;1970;ingles;War, Drama, History;20th Century Fox;Estados Unidos;Arabe, Ingles, Frances, Aleman, Italiano, Ruso
Ryan O'Neal;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Big Bounce;Mejor actor;No;1971;Love Story;1970;ingles;Romance, Drama;Paramount, Love Story Company;Estados Unidos;Ingles
Ali MacGraw;Femenino;Pound Ridge, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Goodbye,  Columbus;Mejor actriz;No;1971;Love Story;1970;ingles;Romance, Drama;Paramount, Love Story Company;Estados Unidos;Ingles
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;No;1971;Five Easy Pieces;1970;ingles;Drama;BBS Productions, Columbia Pictures;Estados Unidos;Ingles
Sarah Miles;Femenino;Ingatestone, Inglaterra;Británica;No aplica;Blanca;No; Term of Trial;Mejor actriz;No;1971;Ryan's Daughter;1970;ingles;Drama, Romance, History;Metro-Goldwyn-Mayer;Irlanda, Reino Unido;Ingles
Melvyn Douglas;Masculino;Macon, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tonight or Never;Mejor actor;No;1971;I Never Sang for My Father;1970;ingles;Drama;Janel Productions, Columbia Pictures;Estados Unidos;Ingles
Carrie Snodgress;Femenino;Park Ridge, Estados Unidos;Estadounidense;No aplica;Blanca;Sí;  Diary of a Mad Housewife;Mejor actriz;No;1971;Diary of a Mad Housewife;1970;ingles;Comedy, Drama;Frank Perry Films Inc., Universal Pictures;Estados Unidos;Ingles
James Earl Jones;Masculino;Arkabutla, Estados Unidos;Estadounidense;No aplica;Negra;No; Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Mejor actor;No;1971;The Great White Hope;1970;ingles;Drama;Lawrence Turman Films, Inc., 20th Century Fox;Estados Unidos;Ingles
Jane Alexander;Femenino;Boston, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Great White Hope;Mejor actriz;No;1971;The Great White Hope;1970;ingles;Drama;Lawrence Turman Films, Inc., 20th Century Fox;Estados Unidos;Ingles
Glenda Jackson;Femenino;Birkenhead, Inglaterra;Británica;No aplica;Blanca;No; Marat/Sade;Mejor actriz;Sí;1971;Women in Love;1970;Inglés;Drama, Romance;Brandywine Productions, United Artists;Reino Unido;Inglés
Gene Hackman;Masculino;San Bernardino, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lilith;Mejor actor;Sí;1972;The French Connection;1971;ingles;Action, Crime, Thriller;D'Antoni Productions, Schine-Moore Productions, 20th Century Fox;Estados Unidos;Ingles, Frances
Topol;Masculino;Tel Aviv, Israel;Israelí;No aplica;Blanca;No; I Like Mike;Mejor actor;No;1972;Fiddler on the Roof;1971;ingles;Drama, Romance;United Artists, Cartier Productions, The Mirisch Company;Estados Unidos;Hebreo, Ruso, Ingles
Jane Fonda;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tall Story;Mejor actriz;Sí;1972;Klute;1971;ingles;Thriller, Mystery, Crime;Gus Productions, Warner Bros. Pictures;Estados Unidos;Ingles
Julie Christie;Femenino;Chabua, India;Británica;No aplica;Blanca;No; Crooks Anonymous;Mejor actriz;No;1972;McCabe & Mrs. Miller;1971;ingles;Western, Drama;Warner Bros. Pictures;Estados Unidos;Ingles
Peter Finch;Masculino;South Kensington, Inglaterra;Británica;Australiana;Blanca;No; Dad and Dave Come to Town;Mejor actor;No;1972;Sunday Bloody Sunday;1971;ingles;Drama;Vic Films Productions, Vectia;Reino Unido;Ingles, Hebreo, Italiano
Glenda Jackson;Femenino;Birkenhead, Inglaterra;Británica;No aplica;Blanca;No; Marat/Sade;Mejor actriz;No;1972;Sunday Bloody Sunday;1971;ingles;Drama;Vic Films Productions, Vectia;Reino Unido;Ingles, Hebreo, Italiano
George C. Scott;Masculino;Wise, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Hanging Tree;Mejor actor;No;1972;The Hospital;1971;ingles;Comedy, Drama, Mystery;Simcha Productions;Estados Unidos;Ingles
Janet Suzman;Femenino;Johannesburgo, Sudáfrica;Británica;Sudafricana;Blanca;No; Nicholas and Alexandra;Mejor actriz;No;1972;Nicholas and Alexandra;1971;ingles;Drama, War, History;Columbia Pictures, Horizon Pictures;Reino Unido;Español, Frances, Ingles, Ruso
Vanessa Redgrave;Femenino;Blackheath, Inglaterra;Británica;No aplica;Blanca;No; Behind the Mask;Mejor actriz;No;1972;Mary, Queen of Scots;1971;ingles;Drama, History;Universal Pictures, Hal Wallis Productions;Reino Unido;Ingles
Walter Matthau;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Kentuckian;Mejor actor;No;1972;Kotch;1971;ingles;Comedy, Drama;ABC Pictures, Kotch Company Productions, ABC Studios;Estados Unidos;Ingles
Marlon Brando;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Men;Mejor actor;Sí;1973;The Godfather;1972;ingles;Drama, Crime;Paramount, Alfran Productions;Estados Unidos;Ingles, Italiano, Latin
Liza Minnelli;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;No; Charlie Bubbles;Mejor actriz;Sí;1973;Cabaret;1972;ingles;Music, Drama, Romance;Allied Artists Pictures, ABC Pictures;Estados Unidos;Ingles, Hebreo, Aleman, Frances
